case_index,case_name,status,metric,observations,valid_samples,median,p95,min,max
0,"4K_Hard_FourHz_R1","completed_with_warnings","frame_interval_ms",1256,1256,7.67499627545476,8.3757014945149422,5.3670988418161869,136.59068942070007
0,"4K_Hard_FourHz_R1","completed_with_warnings","cpu_frame_ms",1256,1256,7.6903500000000005,8.6711,3.5651,138.717
0,"4K_Hard_FourHz_R1","completed_with_warnings","gpu_frame_ms",1256,1254,7.6418560000000006,8.254976,0.025344,9.49632
0,"4K_Hard_FourHz_R1","completed_with_warnings","cpu_render_thread_ms",1256,1256,1.8385,2.4843,0.4249,10.0539
0,"4K_Hard_FourHz_R1","completed_with_warnings","gc_allocated_in_editor_frame_bytes",1256,1256,16387,44936,15899,175362
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.LayoutRemap_gpu_ms",1256,1256,0.001024,0.0012799999999999999,0.001024,0.28876799999999997
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.Allocate_gpu_ms",1256,1256,3.236096,3.295232,3.0561279999999997,3.30496
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.InvalidateStatic_gpu_ms",1256,0,,,,
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.ClearPhysicalPages_gpu_ms",1256,1256,0.038911999999999995,0.042496,0.033024,0.20812799999999998
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.StaticCasterCull_gpu_ms",1256,1256,0.15744,0.16819199999999998,0.14668799999999999,1.035264
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.DynamicCasterCull_gpu_ms",1256,1256,0,0.000256,0,0.0048639999999999994
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.PageCull_gpu_ms",1256,1256,0.13747199999999998,0.145664,0.128,0.546816
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.StaticRaster_gpu_ms",1256,1256,0.0076799999999999993,0.010752,0.003072,0.162048
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.DynamicRaster_gpu_ms",1256,1256,0.009984,0.011519999999999999,0,0.042496
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.UnityCompatibilityRaster_gpu_ms",1256,0,,,,
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.FinalizePages_gpu_ms",1256,1256,0.004608,0.006144,0.002048,0.281344
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.ResetFeedback_gpu_ms",1256,0,,,,
0,"4K_Hard_FourHz_R1","completed_with_warnings","VSM.ResolveAndFeedback_gpu_ms",1256,1256,1.9512319999999999,2.1675519999999997,1.7436159999999998,3.1160319999999997
1,"4K_Hard_OneHz_R1","completed_with_warnings","frame_interval_ms",1235,1235,7.9754963517189026,8.62179696559906,3.8300950545817614,99.775001406669617
1,"4K_Hard_OneHz_R1","completed_with_warnings","cpu_frame_ms",1235,1235,7.9707,8.8673,2.9497,104.4263
